Points,Longitude,Latitude,COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1,Sum,Genes
5989,518.19714,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5990,525.12971,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5991,532.06228,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5992,538.99486,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5993,545.92743,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5994,552.86,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5995,559.79258,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5996,566.72515,516.6888,1,0,0,1,1,1,4,"COL11A1,COL1A1,C3,FBLN1"
5997,573.65772,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5998,580.59029,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
5999,587.52287,516.6888,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6000,594.45544,516.6888,0,0,0,0,1,1,2,"C3,FBLN1"
6001,46.78218,523.30648,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6002,53.71475,523.30648,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6003,60.64733,523.30648,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6004,67.5799,523.30648,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6005,74.51247,523.30648,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6006,81.44504,523.30648,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6007,88.37762,523.30648,1,0,1,1,0,1,4,"COL11A1,CXCL12,COL1A1,FBLN1"
6008,95.31019,523.30648,0,0,1,1,0,1,3,"CXCL12,COL1A1,FBLN1"
6009,102.24276,523.30648,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6010,109.17534,523.30648,0,0,0,1,0,1,2,"COL1A1,FBLN1"
6011,116.10791,523.30648,0,0,0,0,1,0,1,C3
6012,123.04048,523.30648,0,0,0,0,1,0,1,C3
6013,129.97305,523.30648,0,0,0,0,0,0,0,None
6014,136.90563,523.30648,0,0,0,0,1,1,2,"C3,FBLN1"
6015,143.8382,523.30648,0,0,0,0,1,1,2,"C3,FBLN1"
6016,150.77077,523.30648,0,0,0,0,0,1,1,FBLN1
6017,157.70335,523.30648,0,0,0,0,0,1,1,FBLN1
6018,164.63592,523.30648,0,0,0,0,0,0,0,None
6019,171.56849,523.30648,0,0,0,0,0,0,0,None
6020,178.50107,523.30648,0,0,0,0,0,0,0,None
6021,185.43364,523.30648,0,0,0,0,0,0,0,None
6022,192.36621,523.30648,0,0,0,0,1,0,1,C3
6023,199.29878,523.30648,0,0,0,1,1,0,2,"COL1A1,C3"
6024,206.23136,523.30648,0,0,0,1,1,0,2,"COL1A1,C3"
6025,213.16393,523.30648,0,0,1,1,1,0,3,"CXCL12,COL1A1,C3"
6026,220.0965,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6027,227.02908,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6028,233.96165,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6029,240.89422,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6030,247.82679,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6031,254.75937,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6032,261.69194,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6033,268.62451,523.30648,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
6034,275.55709,523.30648,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6035,282.48966,523.30648,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6036,289.42223,523.30648,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6037,296.3548,523.30648,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6038,303.28738,523.30648,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6039,310.21995,523.30648,0,1,1,1,0,1,4,"S100A4,CXCL12,COL1A1,FBLN1"
6040,317.15252,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6041,324.0851,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6042,331.01767,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6043,337.95024,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6044,344.88282,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6045,351.81539,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6046,358.74796,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6047,365.68053,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6048,372.61311,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6049,379.54568,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6050,386.47825,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6051,393.41083,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6052,400.3434,523.30648,0,1,1,1,1,1,5,"S100A4,CXCL12,COL1A1,C3,FBLN1"
6053,407.27597,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6054,414.20854,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6055,421.14112,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6056,428.07369,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6057,435.00626,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6058,441.93884,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6059,448.87141,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6060,455.80398,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6061,462.73655,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6062,469.66913,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6063,476.6017,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6064,483.53427,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6065,490.46685,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6066,497.39942,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6067,504.33199,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6068,511.26457,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6069,518.19714,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6070,525.12971,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6071,532.06228,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6072,538.99486,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6073,545.92743,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6074,552.86,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
6075,559.79258,523.30648,0,0,0,1,1,1,3,"COL1A1,C3,FBLN1"
